Company Name,City,State,ZIP Code,Primary NAICS,Primary NAICS Description,Location Employee Size Actual,Location Sales Volume Actual,Type of Business,Square Footage,Credit Score Alpha,Saturday Open,Sunday Open
R & W Enterprises LLC,Clanton,AL,35045,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,2,"$333,000",Private,"1 - 1,499",C+,,
Rite Now Logistics,Gardendale,AL,35071,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,4,"$857,000",Private,"1,500 - 2,499",B,,
Ryder Integrated Logistics Inc,Birmingham,AL,35209,541611,Administrative & General Mgmt Consulting Services,12,"$1,184,000",Branch of Public Company,"10,000 - 19,999",A,,
Special Logistics Southeast,Theodore,AL,36582,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,3,"$585,000",Private,"1,500 - 2,499",B,,
TBL International,Birmingham,AL,35233,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,4,"$857,000",Private,"1,500 - 2,499",B,,
Thin Air LLC,Tuscaloosa,AL,35401,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,15,"$2,774,000",Private,"5,000 - 9,999",B+,,
Tommy Adams Logistics,Montgomery,AL,36108,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,5,"$1,022,000",Private,"1,500 - 2,499",B,,
Trius Transportation Co,Fort Payne,AL,35967,488210,Support Activities For Rail Transportation,2,"$189,000",Private,"1 - 1,499",C+,,
Ty Dan Transportation,Phil Campbell,AL,35581,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,7,"$1,048,000",Private,"1,500 - 2,499",B,,
University Corp Inc,Montgomery,AL,36104,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,2,"$409,000",Private,"1,500 - 2,499",C+,,
Valley Trucking Co,Bayou La Batre,AL,36509,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,3,"$585,000",Private,"1,500 - 2,499",B,,
Watkins & Co,Northport,AL,35476,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,15,"$2,774,000",Private,"10,000 - 19,999",B+,,
Wink Inc,Mobile,AL,36619,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,3,"$585,000",Private,"1,500 - 2,499",B,,
Young Trucking,Montgomery,AL,36108,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,6,"$1,226,000",Private,"1,500 - 2,499",B,,
3 Sisters Transport LLC,Union City,TN,38261,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,7,"$1,380,000",Private,"2,500 - 4,999",B,,
A & G Trucking,Savannah,TN,38372,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,3,"$533,000",Private,"1,500 - 2,499",B,,
ACT Brokerage,Clarksville,TN,37040,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,3,"$564,000",Private,"1,500 - 2,499",B,,
Agra Products Inc,Knoxville,TN,37932,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,3,"$642,000",Private,"1,500 - 2,499",B,,
Alexander Intergrated Lgstcs,Memphis,TN,38117,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,3,"$678,000",Private,"1,500 - 2,499",C+,,
All In One Logistics,Cedar Hill,TN,37032,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,1,"$176,000",Private,"1,500 - 2,499",C,,
Allen Expedited Transport LLC,Bloomington Springs,TN,38545,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,3,"$392,000",Private,"1,500 - 2,499",C+,,
Amley Transportation Inc,Lebanon,TN,37090,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,16,"$2,932,000",Private,"5,000 - 9,999",B+,,
B & P Logistics,Knoxville,TN,37924,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,3,"$642,000",Private,"1,500 - 2,499",C+,,
Bigg's Trucking,Ooltewah,TN,37363,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,8,"$1,738,000",Private,"2,500 - 4,999",B,,
Black Horse Carriers,Memphis,TN,38115,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,3,"$678,000",Private,"2,500 - 4,999",C+,,
Blue Grace Logistics,Franklin,TN,37067,488510,Freight Transportation Arrangement,5,"$1,067,000",Private,"40,000 - 99,999",A,,
Boomerang Truck Brokers,Cordova,TN,38018,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,1,"$226,000",Private,"1,500 - 2,499",C,,
Buckner Trucking & Logistics,Cordova,TN,38018,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,8,"$1,808,000",Private,"2,500 - 4,999",B,,
Carlstar Group,Brentwood,TN,37027,326211,Tire Mfg (Except Retreading),5000,"$1,587,426,000",Private,"100,000+",A+,,
Cdx LLC,Loudon,TN,37774,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,10,"$1,965,000",Private,"5,000 - 9,999",B+,,
Chrisman,Athens,TN,37303,811111,General Automotive Repair,12,"$1,006,000",Private,"5,000 - 9,999",A,,
Cinergy Communication,Ethridge,TN,38456,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,11,"$804,000",Private,"1,500 - 2,499",B,,
City Logistic Svc,Nashville,TN,37214,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,7,"$1,566,000",Private,"2,500 - 4,999",B,,
CMM Enterprises,Dayton,TN,37321,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,12,"$1,873,000",Private,"10,000 - 19,999",B+,,
Conestoga Transportation Co,Farragut,TN,37934,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,5,"$1,070,000",Private,"2,500 - 4,999",B,,
Courtesy Trucking Inc,Memphis,TN,38115,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,8,"$1,808,000",Private,"20,000 - 39,999",B,,
