Company Name,City,State,ZIP Code,Primary NAICS,Primary NAICS Description,Location Employee Size Actual,Location Sales Volume Actual,Type of Business,Square Footage,Credit Score Alpha,Saturday Open,Sunday Open
Southern Freight Maintenance,Morristown,TN,37813,236220,Commercial & Institutional Building Construction,8,"$2,243,000",Private,"2,500 - 4,999",B+,,
Southern Freight Svc Inc,Morristown,TN,37813,488510,Freight Transportation Arrangement,5,"$1,036,000",Private,"5,000 - 9,999",B+,Closed,Closed
Steel Wheel Transfer,Memphis,TN,38115,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,6,"$1,356,000",Private,"2,500 - 4,999",B,,
T & R Express,Memphis,TN,38132,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,2,"$452,000",Private,"1,500 - 2,499",C+,,
Tankstar,Chattanooga,TN,37410,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,30,"$6,517,000",Private,"40,000 - 99,999",B+,,
Taylor Truck Brokers,Mcminnville,TN,37110,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,3,"$451,000",Private,"1,500 - 2,499",C+,,
Techtrans,Chattanooga,TN,37421,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,12,"$2,607,000",Private,"20,000 - 39,999",B+,,
Tennessee Contract Carriers,Gordonsville,TN,38563,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,5,"$693,000",Private,"2,500 - 4,999",B,,
Thermo King,Memphis,TN,38116,423120,Motor Vehicle Supplies & New Parts Merchant Whlsrs,12,"$13,088,000",Private,"20,000 - 39,999",A,,
Titan Transfer Logistics LLC,Nashville,TN,37210,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,10,"$2,237,000",Private,"5,000 - 9,999",B+,,
Tmg Transport LLC,Milan,TN,38358,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,3,"$433,000",Private,"2,500 - 4,999",C+,Closed,Closed
Total Logistics Corp,Franklin,TN,37067,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,5,"$1,100,000",Private,"20,000 - 39,999",B,Closed,Closed
Trans Wood Inc,Memphis,TN,38106,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,29,"$6,552,000",Private,"20,000 - 39,999",A,,
Transplace,Memphis,TN,38118,488510,Freight Transportation Arrangement,5,"$1,012,000",Private,"40,000 - 99,999",A,,
Transport Ohio Valley,Clarksville,TN,37043,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,15,"$2,816,000",Private,"10,000 - 19,999",B+,,
Transportation Made Simple,Memphis,TN,38118,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,30,"$6,777,000",Private,"40,000 - 99,999",B+,,
Transportation Services,Knoxville,TN,37922,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,6,"$1,284,000",Private,"5,000 - 9,999",B,,
Transwood Inc,Charleston,TN,37310,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,42,"$8,089,000",Private,"20,000 - 39,999",A,,
Transwood Inc,Clarksville,TN,37040,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,20,"$3,754,000",Private,"40,000 - 99,999",A,,
Transxpress LLC,Nashville,TN,37218,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,2,"$448,000",Private,"1,500 - 2,499",C+,,
Tri-State Trnsprtn Parts-Eqpt,Memphis,TN,38116,423840,Industrial Supplies Merchant Wholesalers,3,"$3,427,000",Private,"2,500 - 4,999",A,,
Tripp Logistics,Memphis,TN,38132,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,3,"$678,000",Private,"1,500 - 2,499",C+,,
United Global Expedited Svc,Lebanon,TN,37087,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,4,"$733,000",Private,"1,500 - 2,499",B,,
Universal Logistic Svc Inc,Maryville,TN,37801,541990,"All Other Professional, Scientific/Technical Svcs",3,"$420,000",Private,"1,500 - 2,499",C+,,
W E Graham Inc,Memphis,TN,38118,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,101,"$22,816,000",Private,"100,000+",A,,
"Watson, Tony",Franklin,TN,37064,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,5,"$1,100,000",Private,"2,500 - 4,999",B,,
West Tn Transportation Inc,Germantown,TN,38138,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,8,"$1,808,000",Private,"20,000 - 39,999",B,,
Worldwide Freight Corp,Chattanooga,TN,37421,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,12,"$2,607,000",Private,"20,000 - 39,999",B,,
Xcricket Sales,Murfreesboro,TN,37129,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,1,"$212,000",Private,"2,500 - 4,999",C,,
York's Trucking,Shelbyville,TN,37160,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,2,"$305,000",Private,"1,500 - 2,499",C+,,
